organization_id,name_ko,name_en,legal_name,org_type,relief_category,main_focus,donation_types,donation_page_url,campaign_page_url,transparency_page_url,phone,email,address,business_number,donation_receipt_available,tax_receipt_note,source_url,source_type,data_confidence,source_note,last_checked
1,희망브리지 전국재해구호협회,Hope Bridge Korea Disaster Relief Association,사단법인 전국재해구호협회,재난구호 전문 민간단체,DIRECT_DISASTER_RELIEF,"국내 재난·재해 성금 모금, 긴급구호, 임시주거, 심리회복, 재난취약계층 지원",개인후원; 기업후원; 참여형후원; 캠페인후원; 재난·재해 성금,https://donate.hopebridge.or.kr/,https://www.hopebridge.or.kr/,https://www.hopebridge.or.kr/,1544-9595,,04088 서울특별시 마포구 신수로 52,105-82-00427,Y,기부금 영수증 신청 메뉴 제공,https://www.relief.or.kr/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 후원하기, 재난·재해 성금 모금 및 지원, 후원상담 전화, 법인정보 확인",2026-05-27
2,사회복지공동모금회 사랑의열매,Community Chest of Korea,사회복지법인 사회복지공동모금회,법정 모금·배분 기관,NATIONAL_FUNDRAISING_AND_ALLOCATION,"사회복지 모금·배분, 캠페인 모금, 크라우드펀딩, 지역 모금회 기반 지원",정기기부; 일시기부; 크라우드펀딩; 착한가정; 착한가게; 기업/단체 기부; 현물기부,https://www.chest.or.kr/,https://www.chest.or.kr/,https://www.chest.or.kr/,02-6262-3000 / 080-890-1212,chest@chest.or.kr,04519 서울 중구 세종대로21길 39,116-82-14426,Y,기부내역 조회 및 영수증 신청 메뉴 제공,https://www.chest.or.kr/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 정기/일시기부, 열매모아 크라우드펀딩, 기부상담, 법인정보 확인",2026-05-27
3,굿네이버스,Good Neighbors Korea,굿네이버스,국제구호개발 NGO,INTERNATIONAL_HUMANITARIAN_RELIEF,"국내외 아동·지역사회 지원, 캠페인후원, 사업후원, 인도적지원",캠페인후원; 사업후원; 일시후원; 기업후원; 해외아동 1:1 결연; 기념일후원,https://www.goodneighbors.kr/,https://www.goodneighbors.kr/,https://www.goodneighbors.kr/,,,,,Y,기부금영수증 메뉴 제공,https://www.goodneighbors.kr/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 후원하기, 캠페인후원, 사업후원, 일시후원, 기업후원, 인도적지원 메뉴 확인",2026-05-27
4,월드비전,World Vision Korea,한국월드비전,국제구호개발 NGO,INTERNATIONAL_HUMANITARIAN_RELIEF,"긴급구호, 자연재난구호, 분쟁대응, 해외사업, 국내사업, 기후변화대응",국내아동후원; 해외아동후원; 긴급구호후원; 기업후원; 기념일후원; 고액후원; 유산기부,https://my.worldvision.or.kr/,https://www.worldvision.or.kr/,https://www.worldvision.or.kr/,,,,,Y,기부금영수증 메뉴 제공,https://www.worldvision.or.kr/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 후원안내, 긴급구호, 자연재난구호사업, 바로 후원하기, 캠페인 결과보고 메뉴 확인",2026-05-27
5,유니세프한국위원회,UNICEF Korea,유니세프한국위원회,UN 아동 구호 후원기관,CHILD_HUMANITARIAN_RELIEF,"전 세계 어린이 구호, 인도주의 지원, 난민 어린이, 긴급구호, 아동권리 증진",정기후원; 일시후원; 어린이 구호 후원,https://www.unicef.or.kr/,https://www.unicef.or.kr/,https://www.unicef.or.kr/,,,,,Y,기부금 영수증 메뉴 제공,https://www.unicef.or.kr/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 후원과 참여, 긴급구호, 인도주의 지원, 후원하기, 투명성 설명 확인",2026-05-27
6,세이브더칠드런 코리아,Save the Children Korea,사회복지법인 세이브더칠드런,아동권리·국제구호 NGO,CHILD_HUMANITARIAN_RELIEF,"아동권리, 해외 인도적지원, 기후위기대응, 긴급구호, 국내외 아동 지원",정기후원; 일시후원; 기업/단체후원; 고액·유산기부; 소상공인후원; 캠페인후원,https://www.sc.or.kr/,https://www.sc.or.kr/,https://www.sc.or.kr/,02-6900-4400,,,,Y,기부금 관련 메뉴 제공,https://www.sc.or.kr/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 후원/참여, 인도적지원, 긴급구호 캠페인, 후원문의와 후원계좌 확인",2026-05-27
7,플랜코리아,Plan International Korea,재단법인 플랜한국위원회,국제구호개발 NGO,CHILD_HUMANITARIAN_RELIEF,"아동 권리, 해외아동결연, 국내외 지원사업, 긴급구호, 기업사회공헌",해외아동결연후원; 해외지원 사업후원; 국내지원 사업후원; 긴급구호후원; 기업후원,https://my.plankorea.or.kr/,https://www.plankorea.or.kr/,https://www.plankorea.or.kr/,1544-3222,kno@plankorea.or.kr,13494 경기도 성남시 분당구 판교역로 231 H스퀘어 S동 912호,110-82-07378,Y,기부금영수증 메뉴 제공,https://www.plankorea.or.kr/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 긴급구호, 사업후원, 긴급구호 후원하기, 법인정보, 후원문의 확인",2026-05-27
8,한국해비타트,Habitat for Humanity Korea,사단법인 한국해비타트,주거복지·재난복구 NGO,DISASTER_HOUSING_REBUILD,"주거취약계층 지원, 집고치기, 시설개선, 산불피해 주거 재건, 국내외 주거환경 개선",캠페인후원; 정기후원; 기업/단체후원; 교회후원; 특별후원,https://donate.habitat.or.kr/,https://www.habitat.or.kr/,https://www.habitat.or.kr/,1544-3396,khabitat@habitat.or.kr,04598 서울 중구 동호로 195-7 송죽빌딩 2층~5층,201-82-31475,Y,후원자페이지 제공,https://www.habitat.or.kr/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 후원 메뉴, 후원자페이지, 산불피해 보금자리 재건/긴급모금 결과보고, 연락처 확인",2026-05-27
9,밀알복지재단,Miral Welfare Foundation,밀알복지재단,사회복지·국제개발 NGO,VULNERABLE_GROUP_HUMANITARIAN_RELIEF,"국내 위기가정·장애인지원, 국제 장애포괄 개발협력, 인도적지원사업",캠페인후원; 정기후원; 일시후원; 아동결연후원; 기업후원; 물품후원; 특별후원,https://www.miral.org/,https://www.miral.org/,https://www.miral.org/,,,,,Y,기부금영수증/온라인 출력 메뉴 제공,https://www.miral.org/,OFFICIAL_SITE,HIGH,"공식 홈페이지에서 후원하기, 캠페인/정기/일시/기업/물품후원, 위기가정지원, 인도적지원사업 확인",2026-05-27
10,대한적십자사,Korean Red Cross,대한적십자사,인도주의 구호기관,DIRECT_DISASTER_RELIEF,"재난구호, 응급지원, 인도주의 활동, 국내외 구호",정기후원; 일시후원; 재난구호 후원; 인도주의 후원,https://www.redcross.or.kr/,https://www.redcross.or.kr/,https://www.redcross.or.kr/,,,강원특별자치도 원주시,,Y,공식 홈페이지 재확인 필요,https://www.redcross.or.kr/,SECONDARY_SOURCE_OFFICIAL_SITE_TIMEOUT,MEDIUM,공식 사이트 접속은 타임아웃. 보조 출처에서 대한적십자사가 한국의 인도주의 단체이며 재난구호 활동과 공식 사이트를 확인,2026-05-27
